plot;species;dbh
40;Sebastiania commersoniana;12,25906382
40;Sebastiania commersoniana;11,77746579
40;Sebastiania commersoniana;9,803944494
40;Sebastiania commersoniana;19,73521294
40;Sebastiania commersoniana;17,18873385
40;Sebastiania commersoniana;18,27098747
40;Sebastiania commersoniana;6,68450761
40;Sebastiania commersoniana;10,98169107
40;Sebastiania commersoniana;10,18591636
40;Sebastiania commersoniana;16,93408594
40;Sebastiania commersoniana;22,34535401
40;Sebastiania commersoniana;12,95208364
40;Myrcia glomerata;5,98422586
40;Sebastiania commersoniana;5,888732894
40;Sebastiania commersoniana;11,93729977
40;Sebastiania commersoniana;10,44056427
